Id;Name;PIW name;Religion;Culture;SizeModifier;Pashas;Climate;Ice?;Storm?;Galleys;Manpower;Income;Terrain;ToT-SPA;ToT-POR;HRE;Mine(1) ?;MineValue;Goods;Uprgadable;CoT Historical Modifier;Difficulty for Colonization;Native Combat Strength;Ferocity;Efficiency of Natives in combat;Negotiation Value for Trading Posts;Natives Tolerance value ;City XPos;City YPos;Army XPos;ArmyYPos;PortXPos;Port YPos;Manufactory XPos; Manufactory YPos;Port/sea Adjacency;Terrain x;Terrain Y;Terrain variant;Terrain x;Terrain Y;Terrain variant;Terrain x;Terrain Y;Terrain variant;Terrain x;Terrain Y;Terrain variant;Area;Region;Continent;;Extra River Desc Link 1;Extra River Desc Link 2;Extra River Desc Link 3;;Fill coord X;Fill coord Y;;;;;;;;;;;;;;;;
0;Terra Incognita;inland;exotic;none;0;0;0;0;0;0;0;0;8;0;0;0;0;0;nothing;0;-3;0;0;0;0;0;0;9472;3647;5740;4104;0;0;9472;3647;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;-;-;-;#N/A;0;0;0;#N/A;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;Yukon;coastal;exotic;aleutian;0;0;0;0;0;0;1;1;2;0;0;0;1;40;Gold;0;-3;9;15;2;1;7;3;2742;131;2948;164;2757;174;2822;255;828;2792;64;3;2807;110;0;2882;85;1;2935;46;2;Alaska;North America;America;Yukon;1457;0;0;#N/A;2761;83;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2;Kitimat;coastal;exotic;aleutian;0;0;0;0;0;0;1;1;2;0;0;0;0;0;Furs;0;-3;8;20;2;1;5;8;2635;268;2663;367;2609;312;2663;406;828;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;Alaska;North America;America;Kitimat;0;0;0;#N/A;2665;305;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3;Sitka;coastal;exotic;aleutian;0;0;0;0;0;0;1;1;1;0;0;0;0;0;Furs;0;-3;7;25;2;1;4;8;2832;453;2969;406;2808;488;2873;384;861;2857;505;0;3015;471;1;2876;521;2;2902;529;3;Alaska;North America;America;Sitka;0;0;0;#N/A;2858;441;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
4;Nanaimo;coastal;exotic;aleutian;0;0;5;0;0;0;1;2;2;0;0;0;0;0;fish;0;-3;7;10;1;1;2;7;2924;624;3008;593;2911;664;3068;573;861;3083;618;2;3123;640;3;3131;609;4;-100;-100;0;Oregon;North America;America;Nanaimo;1379;0;0;#N/A;2967;620;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
5;Olympia;coastal;exotic;aleutian;0;0;5;0;0;0;1;3;2;1;0;0;0;0;NAVS;0;-3;6;5;1;1;2;6;2847;707;3027;768;2802;709;2895;776;861;3088;730;6;3158;741;7;3101;770;2;3164;774;0;Oregon;North America;America;Olympia;0;0;0;#N/A;3012;794;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
6;Columbia;coastal;exotic;aleutian;0;0;5;0;0;0;1;5;1;1;0;0;0;0;Furs;0;-3;4;10;1;1;2;6;2851;947;2917;894;2817;917;2911;964;861;3007;945;3;3041;884;1;-100;-100;0;-100;-100;0;Oregon;North America;America;Columbia;1380;0;0;#N/A;2906;919;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
7;Nehalem;coastal;exotic;navajo;0;0;5;0;0;0;1;3;1;1;0;0;0;0;Furs;0;-3;5;10;1;1;2;6;2769;1114;2844;1050;2733;1140;2762;1198;860;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;Oregon;North America;America;Nehalem;0;0;0;#N/A;2797;1103;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
8;Sacramento;coastal;exotic;navajo;0;0;3;0;0;0;2;7;0;1;0;0;0;0;Wine;0;0;2;15;1;1;3;5;2753;1306;2739;1458;2712;1317;2787;1336;860;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;California;North America;America;Sacramento;0;0;0;#N/A;2767;1361;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
9;Monterey;coastal;exotic;navajo;0;0;3;0;0;0;1;5;2;1;0;0;1;50;Gold;0;-3;4;20;1;1;4;4;2767;1684;2834;1564;2736;1659;2764;1559;897;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;California;North America;America;Monterey;1381;0;0;#N/A;2809;1571;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
